Roll_No,Semester,Subject,Attendance
IT2025014,2,Data Structures,73
IT2025014,2,Database Management Systems,70
IT2025014,2,Statistics,74
IT2025014,2,Web Development,64
IT2025015,2,Data Structures,74
IT2025015,2,Database Management Systems,71
IT2025015,2,Statistics,74
IT2025015,2,Web Development,75
IT2025016,2,Data Structures,87
IT2025016,2,Database Management Systems,95
IT2025016,2,Statistics,85
IT2025016,2,Web Development,86
IT2025017,2,Data Structures,99
IT2025017,2,Database Management Systems,98
IT2025017,2,Statistics,99
IT2025017,2,Web Development,92
IT2025018,2,Data Structures,88
IT2025018,2,Database Management Systems,70
IT2025018,2,Statistics,88
IT2025018,2,Web Development,76
IT2025019,2,Data Structures,80
IT2025019,2,Database Management Systems,80
IT2025019,2,Statistics,80
IT2025019,2,Web Development,67
IT2025020,2,Data Structures,84
IT2025020,2,Database Management Systems,71
IT2025020,2,Statistics,83
IT2025020,2,Web Development,76
IT2025021,2,Data Structures,74
IT2025021,2,Database Management Systems,80
IT2025021,2,Statistics,74
IT2025021,2,Web Development,87
IT2025022,2,Data Structures,67
IT2025022,2,Database Management Systems,68
IT2025022,2,Statistics,64
IT2025022,2,Web Development,69
IT2025023,2,Data Structures,79
IT2025023,2,Database Management Systems,65
IT2025023,2,Statistics,70
IT2025023,2,Web Development,65
IT2025024,2,Data Structures,84
IT2025024,2,Database Management Systems,85
IT2025024,2,Statistics,82
IT2025024,2,Web Development,76
IT2025025,2,Data Structures,61
IT2025025,2,Database Management Systems,79
IT2025025,2,Statistics,77
IT2025025,2,Web Development,63
IT2025026,2,Data Structures,78
IT2025026,2,Database Management Systems,82
IT2025026,2,Statistics,82
IT2025026,2,Web Development,87
IT2025027,2,Data Structures,90
IT2025027,2,Database Management Systems,88
IT2025027,2,Statistics,94
IT2025027,2,Web Development,95
IT2025028,2,Data Structures,73
IT2025028,2,Database Management Systems,80
IT2025028,2,Statistics,74
IT2025028,2,Web Development,86
IT2025029,2,Data Structures,90
IT2025029,2,Database Management Systems,95
IT2025029,2,Statistics,98
IT2025029,2,Web Development,99
IT2025030,2,Data Structures,70
IT2025030,2,Database Management Systems,72
IT2025030,2,Statistics,70
IT2025030,2,Web Development,76
IT2025031,2,Data Structures,78
IT2025031,2,Database Management Systems,60
IT2025031,2,Statistics,63
IT2025031,2,Web Development,69
IT2025032,2,Data Structures,99
IT2025032,2,Database Management Systems,100
IT2025032,2,Statistics,90
IT2025032,2,Web Development,92
IT2025033,2,Data Structures,93
IT2025033,2,Database Management Systems,84
IT2025033,2,Statistics,85
IT2025033,2,Web Development,93
IT2025034,2,Data Structures,70
IT2025034,2,Database Management Systems,83
IT2025034,2,Statistics,76
IT2025034,2,Web Development,89
IT2025035,2,Data Structures,71
IT2025035,2,Database Management Systems,76
IT2025035,2,Statistics,85
IT2025035,2,Web Development,75
IT2025036,2,Data Structures,80
IT2025036,2,Database Management Systems,78
IT2025036,2,Statistics,77
IT2025036,2,Web Development,79
IT2025037,2,Data Structures,94
IT2025037,2,Database Management Systems,93
IT2025037,2,Statistics,87
IT2025037,2,Web Development,90
IT2025038,2,Data Structures,86
IT2025038,2,Database Management Systems,92
IT2025038,2,Statistics,88
IT2025038,2,Web Development,94
IT2025039,2,Data Structures,86
IT2025039,2,Database Management Systems,93
IT2025039,2,Statistics,89
IT2025039,2,Web Development,93
IT2025040,2,Data Structures,66
IT2025040,2,Database Management Systems,77
IT2025040,2,Statistics,63
IT2025040,2,Web Development,61
IT2025041,2,Data Structures,80
IT2025041,2,Database Management Systems,63
IT2025041,2,Statistics,75
IT2025041,2,Web Development,64
IT2025042,2,Data Structures,75
IT2025042,2,Database Management Systems,85
IT2025042,2,Statistics,76
IT2025042,2,Web Development,79
IT2025043,2,Data Structures,62
IT2025043,2,Database Management Systems,61
IT2025043,2,Statistics,65
IT2025043,2,Web Development,72
IT2025044,2,Data Structures,84
IT2025044,2,Database Management Systems,82
IT2025044,2,Statistics,91
IT2025044,2,Web Development,87
IT2025045,2,Data Structures,80
IT2025045,2,Database Management Systems,75
IT2025045,2,Statistics,76
IT2025045,2,Web Development,66
IT2025046,2,Data Structures,65
IT2025046,2,Database Management Systems,68
IT2025046,2,Statistics,70
IT2025046,2,Web Development,66
IT2025047,2,Data Structures,96
IT2025047,2,Database Management Systems,91
IT2025047,2,Statistics,92
IT2025047,2,Web Development,95
IT2025048,2,Data Structures,68
IT2025048,2,Database Management Systems,74
IT2025048,2,Statistics,69
IT2025048,2,Web Development,80
IT2025049,2,Data Structures,82
IT2025049,2,Database Management Systems,89
IT2025049,2,Statistics,88
IT2025049,2,Web Development,93
IT2025050,2,Data Structures,73
IT2025050,2,Database Management Systems,89
IT2025050,2,Statistics,74
IT2025050,2,Web Development,84
IT2025051,2,Data Structures,87
IT2025051,2,Database Management Systems,87
IT2025051,2,Statistics,77
IT2025051,2,Web Development,84
IT2025052,2,Data Structures,88
IT2025052,2,Database Management Systems,87
IT2025052,2,Statistics,87
IT2025052,2,Web Development,80
IT2025053,2,Data Structures,76
IT2025053,2,Database Management Systems,86
IT2025053,2,Statistics,71
IT2025053,2,Web Development,86
IT2025054,2,Data Structures,99
IT2025054,2,Database Management Systems,100
IT2025054,2,Statistics,90
IT2025054,2,Web Development,90
IT2025055,2,Data Structures,91
IT2025055,2,Database Management Systems,88
IT2025055,2,Statistics,90
IT2025055,2,Web Development,89
IT2025056,2,Data Structures,88
IT2025056,2,Database Management Systems,94
IT2025056,2,Statistics,88
IT2025056,2,Web Development,89
IT2025057,2,Data Structures,72
IT2025057,2,Database Management Systems,81
IT2025057,2,Statistics,87
IT2025057,2,Web Development,74
IT2025058,2,Data Structures,70
IT2025058,2,Database Management Systems,84
IT2025058,2,Statistics,82
IT2025058,2,Web Development,84
IT2025059,2,Data Structures,78
IT2025059,2,Database Management Systems,73
IT2025059,2,Statistics,83
IT2025059,2,Web Development,76
IT2025060,2,Data Structures,79
IT2025060,2,Database Management Systems,79
IT2025060,2,Statistics,61
IT2025060,2,Web Development,67
IT2024001,3,Python for Data Analytics,71
IT2024001,3,Operating Systems,79
IT2024001,3,Computer Networks,88
IT2024001,3,Software Engineering,89
IT2024002,3,Python for Data Analytics,69
IT2024002,3,Operating Systems,76
IT2024002,3,Computer Networks,69
IT2024002,3,Software Engineering,77
IT2024003,3,Python for Data Analytics,100
IT2024003,3,Operating Systems,98
IT2024003,3,Computer Networks,95
IT2024003,3,Software Engineering,98
IT2024004,3,Python for Data Analytics,88
IT2024004,3,Operating Systems,88
IT2024004,3,Computer Networks,89
IT2024004,3,Software Engineering,86
IT2024005,3,Python for Data Analytics,84
IT2024005,3,Operating Systems,83
IT2024005,3,Computer Networks,86
IT2024005,3,Software Engineering,77
IT2024006,3,Python for Data Analytics,80
IT2024006,3,Operating Systems,81
IT2024006,3,Computer Networks,76
IT2024006,3,Software Engineering,82
IT2024007,3,Python for Data Analytics,62
IT2024007,3,Operating Systems,78
IT2024007,3,Computer Networks,75
IT2024007,3,Software Engineering,70
IT2024008,3,Python for Data Analytics,85
IT2024008,3,Operating Systems,93
IT2024008,3,Computer Networks,85
IT2024008,3,Software Engineering,93
IT2024009,3,Python for Data Analytics,77
IT2024009,3,Operating Systems,79
IT2024009,3,Computer Networks,87
IT2024009,3,Software Engineering,78
IT2024010,3,Python for Data Analytics,85
IT2024010,3,Operating Systems,85
IT2024010,3,Computer Networks,81
IT2024010,3,Software Engineering,71
IT2024011,3,Python for Data Analytics,64
IT2024011,3,Operating Systems,77
IT2024011,3,Computer Networks,64
IT2024011,3,Software Engineering,67
IT2024012,3,Python for Data Analytics,77
IT2024012,3,Operating Systems,80
IT2024012,3,Computer Networks,85
IT2024012,3,Software Engineering,75
IT2024013,3,Python for Data Analytics,64
IT2024013,3,Operating Systems,65
IT2024013,3,Computer Networks,61
IT2024013,3,Software Engineering,62
IT2024014,3,Python for Data Analytics,60
IT2024014,3,Operating Systems,80
IT2024014,3,Computer Networks,64
IT2024014,3,Software Engineering,76
IT2024015,3,Python for Data Analytics,71
IT2024015,3,Operating Systems,85
IT2024015,3,Computer Networks,87
IT2024015,3,Software Engineering,70
IT2024016,3,Python for Data Analytics,79
IT2024016,3,Operating Systems,83
IT2024016,3,Computer Networks,73
IT2024016,3,Software Engineering,76
IT2024017,3,Python for Data Analytics,71
IT2024017,3,Operating Systems,72
IT2024017,3,Computer Networks,72
IT2024017,3,Software Engineering,67
IT2024018,3,Python for Data Analytics,86
IT2024018,3,Operating Systems,92
IT2024018,3,Computer Networks,94
IT2024018,3,Software Engineering,88
IT2024019,3,Python for Data Analytics,77
IT2024019,3,Operating Systems,80
IT2024019,3,Computer Networks,65
IT2024019,3,Software Engineering,73
IT2024020,3,Python for Data Analytics,91
IT2024020,3,Operating Systems,90
IT2024020,3,Computer Networks,85
IT2024020,3,Software Engineering,89
IT2024021,3,Python for Data Analytics,72
IT2024021,3,Operating Systems,88
IT2024021,3,Computer Networks,80
IT2024021,3,Software Engineering,88
IT2024022,3,Python for Data Analytics,83
IT2024022,3,Operating Systems,91
IT2024022,3,Computer Networks,95
IT2024022,3,Software Engineering,92
IT2024023,3,Python for Data Analytics,74
IT2024023,3,Operating Systems,81
IT2024023,3,Computer Networks,83
IT2024023,3,Software Engineering,72
IT2024024,3,Python for Data Analytics,94
IT2024024,3,Operating Systems,88
IT2024024,3,Computer Networks,82
IT2024024,3,Software Engineering,94
IT2024025,3,Python for Data Analytics,85
IT2024025,3,Operating Systems,88
IT2024025,3,Computer Networks,92
IT2024025,3,Software Engineering,88
IT2024026,3,Python for Data Analytics,89
IT2024026,3,Operating Systems,77
IT2024026,3,Computer Networks,78
IT2024026,3,Software Engineering,74
IT2024027,3,Python for Data Analytics,81
IT2024027,3,Operating Systems,70
IT2024027,3,Computer Networks,81
IT2024027,3,Software Engineering,74
IT2024028,3,Python for Data Analytics,88
IT2024028,3,Operating Systems,90
IT2024028,3,Computer Networks,83
IT2024028,3,Software Engineering,87
IT2024029,3,Python for Data Analytics,79
IT2024029,3,Operating Systems,72
IT2024029,3,Computer Networks,73
IT2024029,3,Software Engineering,62
IT2024030,3,Python for Data Analytics,99
IT2024030,3,Operating Systems,100
IT2024030,3,Computer Networks,92
IT2024030,3,Software Engineering,94
IT2024031,3,Python for Data Analytics,72
IT2024031,3,Operating Systems,78
IT2024031,3,Computer Networks,85
IT2024031,3,Software Engineering,78
IT2024032,3,Python for Data Analytics,85
IT2024032,3,Operating Systems,73
IT2024032,3,Computer Networks,70
IT2024032,3,Software Engineering,89
IT2024033,3,Python for Data Analytics,89
IT2024033,3,Operating Systems,95
IT2024033,3,Computer Networks,91
IT2024033,3,Software Engineering,87
IT2024034,3,Python for Data Analytics,80
IT2024034,3,Operating Systems,80
IT2024034,3,Computer Networks,85
IT2024034,3,Software Engineering,82
IT2024035,3,Python for Data Analytics,72
IT2024035,3,Operating Systems,78
IT2024035,3,Computer Networks,77
IT2024035,3,Software Engineering,77
IT2024036,3,Python for Data Analytics,84
IT2024036,3,Operating Systems,79
IT2024036,3,Computer Networks,83
IT2024036,3,Software Engineering,79
IT2024037,3,Python for Data Analytics,92
IT2024037,3,Operating Systems,94
IT2024037,3,Computer Networks,89
IT2024037,3,Software Engineering,91
IT2024038,3,Python for Data Analytics,86
IT2024038,3,Operating Systems,71
IT2024038,3,Computer Networks,87
IT2024038,3,Software Engineering,77
IT2024039,3,Python for Data Analytics,89
IT2024039,3,Operating Systems,82
IT2024039,3,Computer Networks,83
IT2024039,3,Software Engineering,73
IT2024040,3,Python for Data Analytics,86
IT2024040,3,Operating Systems,81
IT2024040,3,Computer Networks,88
IT2024040,3,Software Engineering,70
IT2024041,3,Python for Data Analytics,86
IT2024041,3,Operating Systems,83
IT2024041,3,Computer Networks,87
IT2024041,3,Software Engineering,89
IT2024042,3,Python for Data Analytics,85
IT2024042,3,Operating Systems,73
IT2024042,3,Computer Networks,84
IT2024042,3,Software Engineering,79
IT2024043,3,Python for Data Analytics,63
IT2024043,3,Operating Systems,70
IT2024043,3,Computer Networks,65
IT2024043,3,Software Engineering,65
IT2024044,3,Python for Data Analytics,87
IT2024044,3,Operating Systems,89
IT2024044,3,Computer Networks,92
IT2024044,3,Software Engineering,92
IT2024045,3,Python for Data Analytics,96
IT2024045,3,Operating Systems,97
IT2024045,3,Computer Networks,96
IT2024045,3,Software Engineering,93
IT2024046,3,Python for Data Analytics,72
IT2024046,3,Operating Systems,87
IT2024046,3,Computer Networks,80
IT2024046,3,Software Engineering,73
IT2024047,3,Python for Data Analytics,85
IT2024047,3,Operating Systems,82
IT2024047,3,Computer Networks,73
IT2024047,3,Software Engineering,84
IT2024048,3,Python for Data Analytics,79
IT2024048,3,Operating Systems,74
IT2024048,3,Computer Networks,77
IT2024048,3,Software Engineering,75
IT2024049,3,Python for Data Analytics,90
IT2024049,3,Operating Systems,91
IT2024049,3,Computer Networks,88
IT2024049,3,Software Engineering,89
IT2024050,3,Python for Data Analytics,80
IT2024050,3,Operating Systems,65
IT2024050,3,Computer Networks,64
IT2024050,3,Software Engineering,74
IT2024051,3,Python for Data Analytics,95
IT2024051,3,Operating Systems,89
IT2024051,3,Computer Networks,95
IT2024051,3,Software Engineering,90
IT2024052,3,Python for Data Analytics,75
IT2024052,3,Operating Systems,74
IT2024052,3,Computer Networks,62
IT2024052,3,Software Engineering,67
IT2024053,3,Python for Data Analytics,94
IT2024053,3,Operating Systems,92
IT2024053,3,Computer Networks,99
IT2024053,3,Software Engineering,98
IT2024054,3,Python for Data Analytics,91
IT2024054,3,Operating Systems,94
IT2024054,3,Computer Networks,90
IT2024054,3,Software Engineering,94
IT2024055,3,Python for Data Analytics,76
IT2024055,3,Operating Systems,77
IT2024055,3,Computer Networks,71
IT2024055,3,Software Engineering,81
IT2024056,3,Python for Data Analytics,89
IT2024056,3,Operating Systems,94
IT2024056,3,Computer Networks,85
IT2024056,3,Software Engineering,93
IT2024057,3,Python for Data Analytics,89
IT2024057,3,Operating Systems,89
IT2024057,3,Computer Networks,76
IT2024057,3,Software Engineering,71
IT2024058,3,Python for Data Analytics,78
IT2024058,3,Operating Systems,79
IT2024058,3,Computer Networks,78
IT2024058,3,Software Engineering,83
IT2024059,3,Python for Data Analytics,80
IT2024059,3,Operating Systems,64
IT2024059,3,Computer Networks,70
IT2024059,3,Software Engineering,72
IT2024060,3,Python for Data Analytics,88
IT2024060,3,Operating Systems,83
IT2024060,3,Computer Networks,72
IT2024060,3,Software Engineering,86
IT2023001,4,Java Programming,81
IT2023001,4,Data Visualization,80
IT2023001,4,Cloud Computing,72
IT2023001,4,Artificial Intelligence,81
IT2023002,4,Java Programming,87
IT2023002,4,Data Visualization,83
IT2023002,4,Cloud Computing,78
IT2023002,4,Artificial Intelligence,79
IT2023003,4,Java Programming,99
IT2023003,4,Data Visualization,95
IT2023003,4,Cloud Computing,90
IT2023003,4,Artificial Intelligence,90
IT2023004,4,Java Programming,89
IT2023004,4,Data Visualization,88
IT2023004,4,Cloud Computing,92
IT2023004,4,Artificial Intelligence,95
IT2023005,4,Java Programming,92
IT2023005,4,Data Visualization,83
IT2023005,4,Cloud Computing,92
IT2023005,4,Artificial Intelligence,88
IT2023006,4,Java Programming,93
IT2023006,4,Data Visualization,88
IT2023006,4,Cloud Computing,93
IT2023006,4,Artificial Intelligence,85
IT2023007,4,Java Programming,74
IT2023007,4,Data Visualization,84
IT2023007,4,Cloud Computing,80
IT2023007,4,Artificial Intelligence,83
IT2023008,4,Java Programming,97
IT2023008,4,Data Visualization,96
IT2023008,4,Cloud Computing,91
IT2023008,4,Artificial Intelligence,94
IT2023009,4,Java Programming,64
IT2023009,4,Data Visualization,76
IT2023009,4,Cloud Computing,80
IT2023009,4,Artificial Intelligence,71
IT2023010,4,Java Programming,100
IT2023010,4,Data Visualization,96
IT2023010,4,Cloud Computing,93
IT2023010,4,Artificial Intelligence,92
IT2023011,4,Java Programming,91
IT2023011,4,Data Visualization,87
IT2023011,4,Cloud Computing,94
IT2023011,4,Artificial Intelligence,86
IT2023012,4,Java Programming,85
IT2023012,4,Data Visualization,91
IT2023012,4,Cloud Computing,86
IT2023012,4,Artificial Intelligence,95
IT2023013,4,Java Programming,76
IT2023013,4,Data Visualization,72
IT2023013,4,Cloud Computing,61
IT2023013,4,Artificial Intelligence,72
IT2023014,4,Java Programming,85
IT2023014,4,Data Visualization,70
IT2023014,4,Cloud Computing,74
IT2023014,4,Artificial Intelligence,88
IT2023015,4,Java Programming,90
IT2023015,4,Data Visualization,94
IT2023015,4,Cloud Computing,82
IT2023015,4,Artificial Intelligence,82
IT2023016,4,Java Programming,71
IT2023016,4,Data Visualization,82
IT2023016,4,Cloud Computing,86
IT2023016,4,Artificial Intelligence,82
IT2023017,4,Java Programming,87
IT2023017,4,Data Visualization,72
IT2023017,4,Cloud Computing,86
IT2023017,4,Artificial Intelligence,74
IT2023018,4,Java Programming,72
IT2023018,4,Data Visualization,73
IT2023018,4,Cloud Computing,67
IT2023018,4,Artificial Intelligence,63
IT2023019,4,Java Programming,89
IT2023019,4,Data Visualization,75
IT2023019,4,Cloud Computing,74
IT2023019,4,Artificial Intelligence,85
IT2023020,4,Java Programming,86
IT2023020,4,Data Visualization,81
IT2023020,4,Cloud Computing,78
IT2023020,4,Artificial Intelligence,70
IT2023021,4,Java Programming,83
IT2023021,4,Data Visualization,72
IT2023021,4,Cloud Computing,88
IT2023021,4,Artificial Intelligence,84
IT2023022,4,Java Programming,90
IT2023022,4,Data Visualization,95
IT2023022,4,Cloud Computing,91
IT2023022,4,Artificial Intelligence,93
IT2023023,4,Java Programming,70
IT2023023,4,Data Visualization,85
IT2023023,4,Cloud Computing,74
IT2023023,4,Artificial Intelligence,71
IT2023024,4,Java Programming,88
IT2023024,4,Data Visualization,85
IT2023024,4,Cloud Computing,86
IT2023024,4,Artificial Intelligence,91
IT2023025,4,Java Programming,86
IT2023025,4,Data Visualization,77
IT2023025,4,Cloud Computing,72
IT2023025,4,Artificial Intelligence,79
