Roll_No,Semester,Subject,Internal,External,Total,Grade
IT2021003,3,Software Engineering,12,32,44,C
IT2021003,4,Artificial Intelligence,15,34,49,C
IT2021003,4,Cloud Computing,11,33,44,C
IT2021003,4,Data Visualization,13,35,48,C
IT2021003,4,Java Programming,12,35,47,C
IT2021003,5,Big Data Analytics,13,31,44,C
IT2021003,5,Business Intelligence,16,37,53,B
IT2021003,5,Cyber Security,14,33,47,C
IT2021003,5,Machine Learning,14,36,50,B
IT2021003,6,Data Science,13,28,41,C
IT2021003,6,Deep Learning,15,36,51,B
IT2021003,6,Major Project,14,35,49,C
IT2021003,6,Professional Ethics,12,36,48,C
IT2021004,1,Communication Skills,17,40,57,B
IT2021004,1,Digital Electronics,18,43,61,B+
IT2021004,1,Mathematics I,17,43,60,B+
IT2021004,1,Python Programming,18,40,58,B
IT2021004,2,Data Structures,17,41,58,B
IT2021004,2,Database Management Systems,17,43,60,B+
IT2021004,2,Statistics,17,44,61,B+
IT2021004,2,Web Development,18,39,57,B
IT2021004,3,Computer Networks,20,40,60,B+
IT2021004,3,Operating Systems,20,37,57,B
IT2021004,3,Python for Data Analytics,23,46,69,B+
IT2021004,3,Software Engineering,20,49,69,B+
IT2021004,4,Artificial Intelligence,18,37,55,B
IT2021004,4,Cloud Computing,18,43,61,B+
IT2021004,4,Data Visualization,16,36,52,B
IT2021004,4,Java Programming,17,42,59,B
IT2021004,5,Big Data Analytics,21,43,64,B+
IT2021004,5,Business Intelligence,16,46,62,B+
IT2021004,5,Cyber Security,19,44,63,B+
IT2021004,5,Machine Learning,18,40,58,B
IT2021004,6,Data Science,20,46,66,B+
IT2021004,6,Deep Learning,17,43,60,B+
IT2021004,6,Major Project,20,43,63,B+
IT2021004,6,Professional Ethics,21,45,66,B+
IT2021005,1,Communication Skills,13,41,54,B
IT2021005,1,Digital Electronics,16,42,58,B
IT2021005,1,Mathematics I,14,42,56,B
IT2021005,1,Python Programming,17,46,63,B+
IT2021005,2,Data Structures,16,38,54,B
IT2021005,2,Database Management Systems,16,41,57,B
IT2021005,2,Statistics,17,46,63,B+
IT2021005,2,Web Development,15,41,56,B
IT2021005,3,Computer Networks,18,47,65,B+
IT2021005,3,Operating Systems,18,46,64,B+
IT2021005,3,Python for Data Analytics,15,42,57,B
IT2021005,3,Software Engineering,17,47,64,B+
IT2021005,4,Artificial Intelligence,16,46,62,B+
IT2021005,4,Cloud Computing,15,41,56,B
IT2021005,4,Data Visualization,14,41,55,B
IT2021005,4,Java Programming,16,46,62,B+
IT2021005,5,Big Data Analytics,19,37,56,B
IT2021005,5,Business Intelligence,18,50,68,B+
IT2021005,5,Cyber Security,15,49,64,B+
IT2021005,5,Machine Learning,17,42,59,B
IT2021005,6,Data Science,15,43,58,B
IT2021005,6,Deep Learning,19,48,67,B+
IT2021005,6,Major Project,15,41,56,B
IT2021005,6,Professional Ethics,15,45,60,B+
IT2021006,1,Communication Skills,27,49,76,A
IT2021006,1,Digital Electronics,24,50,74,A
IT2021006,1,Mathematics I,23,48,71,A
IT2021006,1,Python Programming,26,49,75,A
IT2021006,2,Data Structures,23,50,73,A
IT2021006,2,Database Management Systems,22,53,75,A
IT2021006,2,Statistics,25,53,78,A
IT2021006,2,Web Development,24,51,75,A
IT2021006,3,Computer Networks,26,51,77,A
IT2021006,3,Operating Systems,27,44,71,A
IT2021006,3,Python for Data Analytics,24,49,73,A
IT2021006,3,Software Engineering,25,54,79,A
IT2021006,4,Artificial Intelligence,25,53,78,A
IT2021006,4,Cloud Computing,24,51,75,A
IT2021006,4,Data Visualization,26,52,78,A
IT2021006,4,Java Programming,28,43,71,A
IT2021006,5,Big Data Analytics,25,50,75,A
IT2021006,5,Business Intelligence,23,50,73,A
IT2021006,5,Cyber Security,26,50,76,A
IT2021006,5,Machine Learning,24,47,71,A
IT2021006,6,Data Science,26,50,76,A
IT2021006,6,Deep Learning,21,52,73,A
IT2021006,6,Major Project,25,52,77,A
IT2021006,6,Professional Ethics,26,48,74,A
IT2021007,1,Communication Skills,30,68,98,O
IT2021007,1,Digital Electronics,29,58,87,A+
IT2021007,1,Mathematics I,30,67,97,O
IT2021007,1,Python Programming,27,67,94,O
IT2021007,2,Data Structures,30,59,89,A+
IT2021007,2,Database Management Systems,29,57,86,A+
IT2021007,2,Statistics,27,67,94,O
IT2021007,2,Web Development,30,62,92,O
IT2021007,3,Computer Networks,30,66,96,O
IT2021007,3,Operating Systems,30,65,95,O
IT2021007,3,Python for Data Analytics,30,60,90,O
IT2021007,3,Software Engineering,29,67,96,O
IT2021007,4,Artificial Intelligence,30,63,93,O
IT2021007,4,Cloud Computing,30,67,97,O
IT2021007,4,Data Visualization,30,58,88,A+
IT2021007,4,Java Programming,30,62,92,O
IT2021007,5,Big Data Analytics,28,66,94,O
IT2021007,5,Business Intelligence,28,63,91,O
IT2021007,5,Cyber Security,28,66,94,O
IT2021007,5,Machine Learning,29,62,91,O
IT2021007,6,Data Science,30,56,86,A+
IT2021007,6,Deep Learning,30,64,94,O
IT2021007,6,Major Project,30,69,99,O
IT2021007,6,Professional Ethics,28,62,90,O
IT2021008,1,Communication Skills,25,55,80,A+
IT2021008,1,Digital Electronics,25,57,82,A+
IT2021008,1,Mathematics I,23,50,73,A
IT2021008,1,Python Programming,27,52,79,A
IT2021008,2,Data Structures,28,49,77,A
IT2021008,2,Database Management Systems,23,50,73,A
IT2021008,2,Statistics,23,53,76,A
IT2021008,2,Web Development,24,56,80,A+
IT2021008,3,Computer Networks,24,56,80,A+
IT2021008,3,Operating Systems,21,54,75,A
IT2021008,3,Python for Data Analytics,24,54,78,A
IT2021008,3,Software Engineering,22,45,67,B+
IT2021008,4,Artificial Intelligence,24,52,76,A
IT2021008,4,Cloud Computing,25,48,73,A
IT2021008,4,Data Visualization,23,47,70,A
IT2021008,4,Java Programming,26,51,77,A
IT2021008,5,Big Data Analytics,23,52,75,A
IT2021008,5,Business Intelligence,23,50,73,A
IT2021008,5,Cyber Security,25,51,76,A
IT2021008,5,Machine Learning,25,55,80,A+
IT2021008,6,Data Science,24,52,76,A
IT2021008,6,Deep Learning,24,54,78,A
IT2021008,6,Major Project,25,48,73,A
IT2021008,6,Professional Ethics,23,54,77,A
IT2021009,1,Communication Skills,12,26,38,F
IT2021009,1,Digital Electronics,11,37,48,C
IT2021009,1,Mathematics I,13,34,47,C
IT2021009,1,Python Programming,12,34,46,C
IT2021009,2,Data Structures,10,34,44,C
IT2021009,2,Database Management Systems,12,35,47,C
IT2021009,2,Statistics,10,28,38,F
IT2021009,2,Web Development,14,28,42,C
IT2021009,3,Computer Networks,12,39,51,B
IT2021009,3,Operating Systems,11,37,48,C
IT2021009,3,Python for Data Analytics,12,31,43,C
IT2021009,3,Software Engineering,14,30,44,C
IT2021009,4,Artificial Intelligence,13,39,52,B
IT2021009,4,Cloud Computing,12,33,45,C
IT2021009,4,Data Visualization,13,40,53,B
IT2021009,4,Java Programming,11,33,44,C
IT2021009,5,Big Data Analytics,15,28,43,C
IT2021009,5,Business Intelligence,14,35,49,C
IT2021009,5,Cyber Security,11,35,46,C
IT2021009,5,Machine Learning,11,32,43,C
IT2021009,6,Data Science,10,36,46,C
IT2021009,6,Deep Learning,15,33,48,C
IT2021009,6,Major Project,13,34,47,C
IT2021009,6,Professional Ethics,13,35,48,C
IT2021010,1,Communication Skills,24,61,85,A+
IT2021010,1,Digital Electronics,23,55,78,A
IT2021010,1,Mathematics I,22,51,73,A
IT2021010,1,Python Programming,23,57,80,A+
IT2021010,2,Data Structures,25,56,81,A+
IT2021010,2,Database Management Systems,24,60,84,A+
IT2021010,2,Statistics,23,62,85,A+
IT2021010,2,Web Development,23,60,83,A+
IT2021010,3,Computer Networks,24,59,83,A+
IT2021010,3,Operating Systems,25,58,83,A+
IT2021010,3,Python for Data Analytics,24,52,76,A
IT2021010,3,Software Engineering,26,53,79,A
IT2021010,4,Artificial Intelligence,23,48,71,A
IT2021010,4,Cloud Computing,27,57,84,A+
IT2021010,4,Data Visualization,26,51,77,A
IT2021010,4,Java Programming,24,54,78,A
IT2021010,5,Big Data Analytics,23,59,82,A+
IT2021010,5,Business Intelligence,25,53,78,A
IT2021010,5,Cyber Security,24,48,72,A
IT2021010,5,Machine Learning,19,53,72,A
IT2021010,6,Data Science,25,57,82,A+
IT2021010,6,Deep Learning,22,57,79,A
IT2021010,6,Major Project,26,51,77,A
IT2021010,6,Professional Ethics,23,50,73,A
IT2021011,1,Communication Skills,15,25,40,C
IT2021011,1,Digital Electronics,15,29,44,C
IT2021011,1,Mathematics I,14,28,42,C
IT2021011,1,Python Programming,17,24,41,C
IT2021011,2,Data Structures,13,31,44,C
IT2021011,2,Database Management Systems,12,26,38,F
IT2021011,2,Statistics,13,27,40,C
IT2021011,2,Web Development,13,29,42,C
IT2021011,3,Computer Networks,15,22,37,F
IT2021011,3,Operating Systems,14,30,44,C
IT2021011,3,Python for Data Analytics,13,27,40,C
IT2021011,3,Software Engineering,13,35,48,C
IT2021011,4,Artificial Intelligence,15,32,47,C
IT2021011,4,Cloud Computing,16,28,44,C
IT2021011,4,Data Visualization,12,31,43,C
IT2021011,4,Java Programming,13,30,43,C
IT2021011,5,Big Data Analytics,15,28,43,C
IT2021011,5,Business Intelligence,14,32,46,C
IT2021011,5,Cyber Security,12,24,36,F
IT2021011,5,Machine Learning,15,22,37,F
IT2021011,6,Data Science,18,26,44,C
IT2021011,6,Deep Learning,11,27,38,F
IT2021011,6,Major Project,10,31,41,C
IT2021011,6,Professional Ethics,18,29,47,C
IT2021012,1,Communication Skills,17,36,53,B
IT2021012,1,Digital Electronics,15,42,57,B
IT2021012,1,Mathematics I,18,34,52,B
IT2021012,1,Python Programming,20,46,66,B+
IT2021012,2,Data Structures,19,44,63,B+
IT2021012,2,Database Management Systems,15,36,51,B
IT2021012,2,Statistics,16,42,58,B
IT2021012,2,Web Development,18,41,59,B
IT2021012,3,Computer Networks,19,38,57,B
IT2021012,3,Operating Systems,18,41,59,B
IT2021012,3,Python for Data Analytics,19,38,57,B
IT2021012,3,Software Engineering,18,41,59,B
IT2021012,4,Artificial Intelligence,16,36,52,B
IT2021012,4,Cloud Computing,15,43,58,B
IT2021012,4,Data Visualization,17,38,55,B
IT2021012,4,Java Programming,18,48,66,B+
IT2021012,5,Big Data Analytics,18,39,57,B
IT2021012,5,Business Intelligence,15,44,59,B
IT2021012,5,Cyber Security,20,42,62,B+
IT2021012,5,Machine Learning,19,41,60,B+
IT2021012,6,Data Science,15,40,55,B
IT2021012,6,Deep Learning,17,44,61,B+
IT2021012,6,Major Project,17,35,52,B
IT2021012,6,Professional Ethics,20,44,64,B+
IT2021013,1,Communication Skills,15,36,51,B
IT2021013,1,Digital Electronics,15,31,46,C
IT2021013,1,Mathematics I,16,32,48,C
IT2021013,1,Python Programming,14,34,48,C
IT2021013,2,Data Structures,15,38,53,B
IT2021013,2,Database Management Systems,15,36,51,B
IT2021013,2,Statistics,17,32,49,C
IT2021013,2,Web Development,13,27,40,C
IT2021013,3,Computer Networks,17,33,50,B
IT2021013,3,Operating Systems,15,28,43,C
IT2021013,3,Python for Data Analytics,15,36,51,B
IT2021013,3,Software Engineering,16,29,45,C
IT2021013,4,Artificial Intelligence,18,28,46,C
IT2021013,4,Cloud Computing,15,38,53,B
IT2021013,4,Data Visualization,16,30,46,C
IT2021013,4,Java Programming,15,32,47,C
IT2021013,5,Big Data Analytics,15,31,46,C
IT2021013,5,Business Intelligence,16,33,49,C
IT2021013,5,Cyber Security,14,38,52,B
IT2021013,5,Machine Learning,14,31,45,C
IT2021013,6,Data Science,18,30,48,C
IT2021013,6,Deep Learning,14,32,46,C
IT2021013,6,Major Project,15,33,48,C
IT2021013,6,Professional Ethics,12,33,45,C
IT2021014,1,Communication Skills,20,54,74,A
IT2021014,1,Digital Electronics,23,54,77,A
IT2021014,1,Mathematics I,19,50,69,B+
IT2021014,1,Python Programming,22,52,74,A
IT2021014,2,Data Structures,22,59,81,A+
IT2021014,2,Database Management Systems,24,51,75,A
IT2021014,2,Statistics,19,49,68,B+
IT2021014,2,Web Development,24,54,78,A
IT2021014,3,Computer Networks,22,47,69,B+
IT2021014,3,Operating Systems,23,51,74,A
IT2021014,3,Python for Data Analytics,25,48,73,A
IT2021014,3,Software Engineering,22,63,85,A+
IT2021014,4,Artificial Intelligence,23,50,73,A
IT2021014,4,Cloud Computing,25,53,78,A
IT2021014,4,Data Visualization,21,53,74,A
IT2021014,4,Java Programming,22,48,70,A
IT2021014,5,Big Data Analytics,22,55,77,A
IT2021014,5,Business Intelligence,25,51,76,A
IT2021014,5,Cyber Security,23,55,78,A
IT2021014,5,Machine Learning,23,52,75,A
IT2021014,6,Data Science,23,56,79,A
IT2021014,6,Deep Learning,26,56,82,A+
IT2021014,6,Major Project,23,49,72,A
IT2021014,6,Professional Ethics,21,51,72,A
IT2021015,1,Communication Skills,16,33,49,C
IT2021015,1,Digital Electronics,19,38,57,B
IT2021015,1,Mathematics I,20,44,64,B+
IT2021015,1,Python Programming,19,36,55,B
IT2021015,2,Data Structures,16,43,59,B
IT2021015,2,Database Management Systems,18,49,67,B+
IT2021015,2,Statistics,21,42,63,B+
IT2021015,2,Web Development,22,43,65,B+
IT2021015,3,Computer Networks,16,38,54,B
IT2021015,3,Operating Systems,21,41,62,B+
IT2021015,3,Python for Data Analytics,16,36,52,B
IT2021015,3,Software Engineering,18,37,55,B
IT2021015,4,Artificial Intelligence,17,46,63,B+
IT2021015,4,Cloud Computing,18,44,62,B+
IT2021015,4,Data Visualization,19,43,62,B+
IT2021015,4,Java Programming,21,43,64,B+
IT2021015,5,Big Data Analytics,20,43,63,B+
IT2021015,5,Business Intelligence,19,47,66,B+
IT2021015,5,Cyber Security,19,40,59,B
IT2021015,5,Machine Learning,21,43,64,B+
IT2021015,6,Data Science,19,38,57,B
IT2021015,6,Deep Learning,20,40,60,B+
IT2021015,6,Major Project,22,43,65,B+
IT2021015,6,Professional Ethics,16,45,61,B+
IT2021016,1,Communication Skills,23,33,56,B
IT2021016,1,Digital Electronics,20,36,56,B
IT2021016,1,Mathematics I,19,38,57,B
IT2021016,1,Python Programming,18,33,51,B
IT2021016,2,Data Structures,21,42,63,B+
IT2021016,2,Database Management Systems,19,39,58,B
IT2021016,2,Statistics,23,41,64,B+
IT2021016,2,Web Development,18,36,54,B
IT2021016,3,Computer Networks,21,40,61,B+
IT2021016,3,Operating Systems,19,41,60,B+
IT2021016,3,Python for Data Analytics,21,39,60,B+
IT2021016,3,Software Engineering,20,37,57,B
IT2021016,4,Artificial Intelligence,21,39,60,B+
IT2021016,4,Cloud Computing,21,40,61,B+
IT2021016,4,Data Visualization,20,34,54,B
IT2021016,4,Java Programming,20,30,50,B
IT2021016,5,Big Data Analytics,21,39,60,B+
IT2021016,5,Business Intelligence,20,36,56,B
IT2021016,5,Cyber Security,21,37,58,B
IT2021016,5,Machine Learning,20,34,54,B
IT2021016,6,Data Science,18,35,53,B
IT2021016,6,Deep Learning,22,38,60,B+
IT2021016,6,Major Project,21,47,68,B+
IT2021016,6,Professional Ethics,21,39,60,B+
IT2021017,1,Communication Skills,17,44,61,B+
IT2021017,1,Digital Electronics,21,32,53,B
IT2021017,1,Mathematics I,20,41,61,B+
IT2021017,1,Python Programming,20,44,64,B+
IT2021017,2,Data Structures,18,49,67,B+
IT2021017,2,Database Management Systems,18,43,61,B+
IT2021017,2,Statistics,19,38,57,B
IT2021017,2,Web Development,20,36,56,B
IT2021017,3,Computer Networks,21,37,58,B
IT2021017,3,Operating Systems,22,39,61,B+
IT2021017,3,Python for Data Analytics,19,34,53,B
IT2021017,3,Software Engineering,20,47,67,B+
IT2021017,4,Artificial Intelligence,18,42,60,B+
IT2021017,4,Cloud Computing,23,43,66,B+
IT2021017,4,Data Visualization,20,47,67,B+
IT2021017,4,Java Programming,18,39,57,B
IT2021017,5,Big Data Analytics,17,36,53,B
IT2021017,5,Business Intelligence,20,36,56,B
IT2021017,5,Cyber Security,18,42,60,B+
IT2021017,5,Machine Learning,21,37,58,B
IT2021017,6,Data Science,20,43,63,B+
IT2021017,6,Deep Learning,19,35,54,B
IT2021017,6,Major Project,22,42,64,B+
IT2021017,6,Professional Ethics,19,45,64,B+
IT2021018,1,Communication Skills,12,24,36,F
IT2021018,1,Digital Electronics,12,26,38,F
IT2021018,1,Mathematics I,12,26,38,F
IT2021018,1,Python Programming,14,31,45,C
IT2021018,2,Data Structures,16,22,38,F
IT2021018,2,Database Management Systems,13,33,46,C
IT2021018,2,Statistics,16,29,45,C
IT2021018,2,Web Development,11,28,39,F
IT2021018,3,Computer Networks,14,31,45,C
IT2021018,3,Operating Systems,12,23,35,F
IT2021018,3,Python for Data Analytics,15,23,38,F
IT2021018,3,Software Engineering,15,36,51,B
IT2021018,4,Artificial Intelligence,14,28,42,C
IT2021018,4,Cloud Computing,12,29,41,C
IT2021018,4,Data Visualization,13,31,44,C
IT2021018,4,Java Programming,16,26,42,C
IT2021018,5,Big Data Analytics,13,28,41,C
IT2021018,5,Business Intelligence,12,22,34,F
IT2021018,5,Cyber Security,15,26,41,C
IT2021018,5,Machine Learning,13,29,42,C
IT2021018,6,Data Science,11,27,38,F
IT2021018,6,Deep Learning,15,33,48,C
IT2021018,6,Major Project,18,25,43,C
IT2021018,6,Professional Ethics,11,28,39,F
IT2021019,1,Communication Skills,20,44,64,B+
IT2021019,1,Digital Electronics,18,41,59,B
IT2021019,1,Mathematics I,16,44,60,B+
IT2021019,1,Python Programming,17,37,54,B
IT2021019,2,Data Structures,19,41,60,B+
IT2021019,2,Database Management Systems,18,39,57,B
IT2021019,2,Statistics,18,37,55,B
IT2021019,2,Web Development,17,35,52,B
IT2021019,3,Computer Networks,18,43,61,B+
IT2021019,3,Operating Systems,15,41,56,B
IT2021019,3,Python for Data Analytics,17,37,54,B
IT2021019,3,Software Engineering,17,44,61,B+
IT2021019,4,Artificial Intelligence,19,47,66,B+
IT2021019,4,Cloud Computing,20,36,56,B
IT2021019,4,Data Visualization,19,41,60,B+
IT2021019,4,Java Programming,17,39,56,B
IT2021019,5,Big Data Analytics,17,41,58,B
IT2021019,5,Business Intelligence,20,39,59,B
IT2021019,5,Cyber Security,18,38,56,B
IT2021019,5,Machine Learning,18,40,58,B
IT2021019,6,Data Science,16,38,54,B
IT2021019,6,Deep Learning,18,48,66,B+
IT2021019,6,Major Project,21,45,66,B+
IT2021019,6,Professional Ethics,17,35,52,B
IT2021020,1,Communication Skills,17,36,53,B
IT2021020,1,Digital Electronics,15,44,59,B
IT2021020,1,Mathematics I,19,43,62,B+
IT2021020,1,Python Programming,15,39,54,B
IT2021020,2,Data Structures,18,36,54,B
IT2021020,2,Database Management Systems,19,33,52,B
IT2021020,2,Statistics,17,34,51,B
IT2021020,2,Web Development,18,39,57,B
IT2021020,3,Computer Networks,18,37,55,B
IT2021020,3,Operating Systems,17,36,53,B
IT2021020,3,Python for Data Analytics,16,43,59,B
IT2021020,3,Software Engineering,16,32,48,C
IT2021020,4,Artificial Intelligence,19,40,59,B
IT2021020,4,Cloud Computing,20,38,58,B
IT2021020,4,Data Visualization,19,37,56,B
IT2021020,4,Java Programming,19,43,62,B+
IT2021020,5,Big Data Analytics,20,34,54,B
IT2021020,5,Business Intelligence,17,43,60,B+
IT2021020,5,Cyber Security,20,34,54,B
IT2021020,5,Machine Learning,16,37,53,B
IT2021020,6,Data Science,16,35,51,B
IT2021020,6,Deep Learning,20,35,55,B
IT2021020,6,Major Project,19,43,62,B+
IT2021020,6,Professional Ethics,18,39,57,B
IT2021021,1,Communication Skills,14,28,42,C
IT2021021,1,Digital Electronics,16,27,43,C
IT2021021,1,Mathematics I,19,32,51,B
IT2021021,1,Python Programming,14,32,46,C
IT2021021,2,Data Structures,17,32,49,C
IT2021021,2,Database Management Systems,15,28,43,C
IT2021021,2,Statistics,17,31,48,C
IT2021021,2,Web Development,15,24,39,F
IT2021021,3,Computer Networks,16,29,45,C
IT2021021,3,Operating Systems,15,33,48,C
IT2021021,3,Python for Data Analytics,17,34,51,B
IT2021021,3,Software Engineering,16,34,50,B
IT2021021,4,Artificial Intelligence,12,30,42,C
IT2021021,4,Cloud Computing,15,32,47,C
IT2021021,4,Data Visualization,15,30,45,C
IT2021021,4,Java Programming,15,26,41,C
IT2021021,5,Big Data Analytics,15,30,45,C
IT2021021,5,Business Intelligence,13,26,39,F
IT2021021,5,Cyber Security,16,29,45,C
IT2021021,5,Machine Learning,16,28,44,C
IT2021021,6,Data Science,16,31,47,C
IT2021021,6,Deep Learning,16,32,48,C
IT2021021,6,Major Project,10,31,41,C
IT2021021,6,Professional Ethics,18,25,43,C
IT2021022,1,Communication Skills,25,54,79,A
IT2021022,1,Digital Electronics,24,52,76,A
IT2021022,1,Mathematics I,26,59,85,A+
IT2021022,1,Python Programming,27,51,78,A
IT2021022,2,Data Structures,23,52,75,A
IT2021022,2,Database Management Systems,26,55,81,A+
IT2021022,2,Statistics,26,50,76,A
IT2021022,2,Web Development,25,54,79,A
IT2021022,3,Computer Networks,24,52,76,A
IT2021022,3,Operating Systems,26,54,80,A+
IT2021022,3,Python for Data Analytics,25,51,76,A
IT2021022,3,Software Engineering,22,47,69,B+
IT2021022,4,Artificial Intelligence,24,53,77,A
IT2021022,4,Cloud Computing,25,56,81,A+
IT2021022,4,Data Visualization,23,50,73,A
IT2021022,4,Java Programming,25,52,77,A
IT2021022,5,Big Data Analytics,24,57,81,A+
IT2021022,5,Business Intelligence,25,53,78,A
IT2021022,5,Cyber Security,26,55,81,A+
IT2021022,5,Machine Learning,22,52,74,A
IT2021022,6,Data Science,26,57,83,A+
IT2021022,6,Deep Learning,25,57,82,A+
IT2021022,6,Major Project,25,49,74,A
IT2021022,6,Professional Ethics,24,49,73,A
IT2021023,1,Communication Skills,23,41,64,B+
IT2021023,1,Digital Electronics,19,46,65,B+
IT2021023,1,Mathematics I,18,49,67,B+
IT2021023,1,Python Programming,22,48,70,A
IT2021023,2,Data Structures,19,35,54,B
IT2021023,2,Database Management Systems,21,39,60,B+
IT2021023,2,Statistics,21,49,70,A
IT2021023,2,Web Development,19,44,63,B+
IT2021023,3,Computer Networks,22,42,64,B+
IT2021023,3,Operating Systems,20,37,57,B
IT2021023,3,Python for Data Analytics,20,50,70,A
IT2021023,3,Software Engineering,20,44,64,B+
IT2021023,4,Artificial Intelligence,18,43,61,B+
IT2021023,4,Cloud Computing,19,43,62,B+
IT2021023,4,Data Visualization,20,40,60,B+
IT2021023,4,Java Programming,19,45,64,B+
IT2021023,5,Big Data Analytics,23,45,68,B+
IT2021023,5,Business Intelligence,22,47,69,B+
IT2021023,5,Cyber Security,22,42,64,B+
IT2021023,5,Machine Learning,21,43,64,B+
IT2021023,6,Data Science,19,47,66,B+
IT2021023,6,Deep Learning,19,44,63,B+
IT2021023,6,Major Project,21,41,62,B+
IT2021023,6,Professional Ethics,22,37,59,B
IT2021024,1,Communication Skills,19,44,63,B+
IT2021024,1,Digital Electronics,16,49,65,B+
IT2021024,1,Mathematics I,17,42,59,B
IT2021024,1,Python Programming,19,39,58,B
IT2021024,2,Data Structures,17,46,63,B+
IT2021024,2,Database Management Systems,18,45,63,B+
IT2021024,2,Statistics,18,44,62,B+
IT2021024,2,Web Development,19,50,69,B+
IT2021024,3,Computer Networks,16,37,53,B
IT2021024,3,Operating Systems,17,44,61,B+
IT2021024,3,Python for Data Analytics,16,36,52,B
IT2021024,3,Software Engineering,18,42,60,B+
IT2021024,4,Artificial Intelligence,18,45,63,B+
IT2021024,4,Cloud Computing,20,43,63,B+
IT2021024,4,Data Visualization,17,43,60,B+
IT2021024,4,Java Programming,19,47,66,B+
IT2021024,5,Big Data Analytics,19,41,60,B+
IT2021024,5,Business Intelligence,19,44,63,B+
IT2021024,5,Cyber Security,17,35,52,B
IT2021024,5,Machine Learning,17,38,55,B
IT2021024,6,Data Science,19,45,64,B+
IT2021024,6,Deep Learning,18,37,55,B
IT2021024,6,Major Project,19,45,64,B+
IT2021024,6,Professional Ethics,15,43,58,B
IT2021025,1,Communication Skills,24,54,78,A
IT2021025,1,Digital Electronics,23,53,76,A
IT2021025,1,Mathematics I,20,59,79,A
IT2021025,1,Python Programming,23,55,78,A
IT2021025,2,Data Structures,22,52,74,A
IT2021025,2,Database Management Systems,20,59,79,A
IT2021025,2,Statistics,20,58,78,A
IT2021025,2,Web Development,19,58,77,A
IT2021025,3,Computer Networks,21,50,71,A
IT2021025,3,Operating Systems,21,56,77,A
IT2021025,3,Python for Data Analytics,22,48,70,A
IT2021025,3,Software Engineering,19,56,75,A
IT2021025,4,Artificial Intelligence,22,52,74,A
IT2021025,4,Cloud Computing,22,56,78,A
IT2021025,4,Data Visualization,23,47,70,A
IT2021025,4,Java Programming,17,57,74,A
IT2021025,5,Big Data Analytics,19,48,67,B+
IT2021025,5,Business Intelligence,19,53,72,A
IT2021025,5,Cyber Security,22,55,77,A
IT2021025,5,Machine Learning,20,56,76,A
